2022-09-27 22:13:53,660 [http-nio-8080-exec-2] ERROR ru.maxryazan.bankofryazan.controllers.BankMainPageController - LOG ERROR
2022-09-27 22:22:33,403 [http-nio-8080-exec-4] ERROR bankofryazan.controllers.BankMainPageController:showMainPage:51 - LOG ERROR
2022-09-27 22:22:46,861 [http-nio-8080-exec-10] ERROR bankofryazan.controllers.BankMainPageController:showMainPage:51 - LOG ERROR
2022-09-27 22:39:10,802 [http-nio-8080-exec-3] ERROR maxryazan.bankofryazan.controllers.BankMainPageController:showMainPage:51 - LOG ERROR
2022-09-27 22:45:44,213 [http-nio-8080-exec-5] ERROR bankofryazan.controllers.BankMainPageController:showMainPage:51 - LOG ERROR
2022-09-27 22:53:08,843 [main] INFO  maxryazan.bankofryazan.BankOfRyazanApplication:logStarting:55 - Starting BankOfRyazanApplication using Java 17 on DESKTOP-JA17IEE with PID 5548 (C:\MyPrograms\SpringCode\BankOfRyazan\target\classes started by Максим Олегович in C:\MyPrograms\SpringCode\BankOfRyazan)
2022-09-27 22:53:08,898 [main] INFO  maxryazan.bankofryazan.BankOfRyazanApplication:logStartupProfileInfo:634 - No active profile set, falling back to 1 default profile: "default"
2022-09-27 22:53:11,697 [main] INFO  repository.config.RepositoryConfigurationDelegate:registerRepositoriesIn:132 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-09-27 22:53:11,960 [main] INFO  repository.config.RepositoryConfigurationDelegate:registerRepositoriesIn:201 - Finished Spring Data repository scanning in 240 ms. Found 9 JPA repository interfaces.
2022-09-27 22:53:17,996 [main] INFO  embedded.tomcat.TomcatWebServer:initialize:108 - Tomcat initialized with port(s): 8080 (http)
2022-09-27 22:53:20,137 [main] INFO  servlet.context.ServletWebServerApplicationContext:prepareWebApplicationContext:292 - Root WebApplicationContext: initialization completed in 11036 ms
2022-09-27 22:53:22,884 [main] INFO  internal.util.LogHelper:logPersistenceUnitInformation:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-09-27 22:53:23,086 [main] INFO  org.hibernate.Version:logVersion:44 - HHH000412: Hibernate ORM core version 5.6.9.Final
2022-09-27 22:53:23,941 [main] INFO  annotations.common.Version:<clinit>:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-09-27 22:53:24,405 [main] INFO  zaxxer.hikari.HikariDataSource:getConnection:110 - HikariPool-1 - Starting...
2022-09-27 22:53:24,966 [main] INFO  zaxxer.hikari.HikariDataSource:getConnection:123 - HikariPool-1 - Start completed.
2022-09-27 22:53:24,998 [main] INFO  hibernate.dialect.Dialect:<init>:175 - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2022-09-27 22:53:28,158 [main] INFO  platform.internal.JtaPlatformInitiator:initiateService:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-09-27 22:53:28,187 [main] INFO  orm.jpa.LocalContainerEntityManagerFactoryBean:buildNativeEntityManagerFactory:437 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-09-27 22:53:30,088 [main] WARN  orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:openEntityManagerInViewInterceptor:219 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-09-27 22:53:31,327 [main] INFO  security.web.DefaultSecurityFilterChain:<init>:55 - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4154ecd3, org.springframework.security.web.session.ForceEagerSessionCreationFilter@b53ce18, org.springframework.security.web.session.ForceEagerSessionCreationFilter@62ff14cd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a666c8e, org.springframework.security.web.context.SecurityContextPersistenceFilter@6ae6a77b, org.springframework.security.web.header.HeaderWriterFilter@6b6f73d, org.springframework.security.web.csrf.CsrfFilter@5bddd141, org.springframework.security.web.authentication.logout.LogoutFilter@47224d5d, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@3bd79444, org.springframework.security.web.session.ConcurrentSessionFilter@166d576b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@75d95b67, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@796e2187, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d4135c9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@18adc20a, org.springframework.security.web.session.SessionManagementFilter@3f2ab6ec, org.springframework.security.web.access.ExceptionTranslationFilter@3b80bb63, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6870a76f]
2022-09-27 22:53:32,781 [main] INFO  embedded.tomcat.TomcatWebServer:start:220 - Tomcat started on port(s): 8080 (http) with context path ''
2022-09-27 22:53:32,816 [main] INFO  maxryazan.bankofryazan.BankOfRyazanApplication:logStarted:61 - Started BankOfRyazanApplication in 25.294 seconds (JVM running for 28.759)
2022-09-27 22:53:32,877 [SpringApplicationShutdownHook] INFO  orm.jpa.LocalContainerEntityManagerFactoryBean:destroy:651 - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-09-27 22:53:32,881 [SpringApplicationShutdownHook] INFO  zaxxer.hikari.HikariDataSource:close:350 - HikariPool-1 - Shutdown initiated...
2022-09-27 22:53:32,899 [SpringApplicationShutdownHook] INFO  zaxxer.hikari.HikariDataSource:close:352 - HikariPool-1 - Shutdown completed.
